,Screen name,Description,Total retweets,Total favorite,Average retweets,Average Favorites,Median retweets,Median favorites,stdev retweets,stdev favorites
0,Mr_Smith_Texas,,0,1,0.0,0.05,0.0,0.0,0.0,0.21794494717703364
1,drdegen1665,"Leeching, bloodletting, mercury enemas and other evidence based therapies.  Subspecializing in appropriately priced animal jpegs",312,11,15.6,0.55,0.0,0.0,56.30577235062139,1.0712142642814275
2,PankajKant20,investor,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,calopezjhon,,360,0,18.0,0.0,0.0,0.0,22.045407685048602,0.0
4,hkaffilates,I am Digital Marketing Specilat promoting my affilated marketing products,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,IBrokeTheVial,"When the world was burning around us, ashes kicking up, I only saw you; I saw hope. @xNemesisProject 

~ #RERP #Mature #ResidentEvil #Almond #WeAreApophis~",0,1,0.0,0.05,0.0,0.0,0.0,0.21794494717703364
6,Petefarnham,Sec’y Rockbridge County Dem Cmte. Former Republican. Nam Vet. I FB blue folks. #SlavaUkraini #Uvalde #VoteBluein22 #Noforcedbirths. Followed by Barack Obama.,10,57,0.5,2.85,0.0,1.0,1.118033988749895,4.339066719929529
7,IanOpte,"Father, husband, paratrooper and other stuff, unapologetically liberal.",0,21,0.0,1.05,0.0,0.0,0.0,3.0409702399069936
8,Patriotic_Medic,"You don’t own it, Your looking after it for the next generation. Will you leave it better than you found it?",18903,5,945.15,0.25,0.0,0.0,3629.9562431935738,0.698212002188447
9,MeetJess,"Animal devotee. Nature admirer. Elderly apostle. Avid reader. Snarky, Sarcastic & compassionate. Music lover. Benevolence ambassador #BeKind #COVIDISAIRBORNE",736,215,36.8,10.75,0.0,2.0,147.66434911650137,14.296415634696691
